Bandit,Reward,Algorithm
Bandit_3,3.1540228910777923,ThompsonSampling
Bandit_3,2.7850248560976647,ThompsonSampling
Bandit_3,2.2116652498818294,ThompsonSampling
Bandit_3,1.4475282621710308,ThompsonSampling
Bandit_3,2.805020859760745,ThompsonSampling
Bandit_3,2.231204678995258,ThompsonSampling
Bandit_3,2.492622307576567,ThompsonSampling
Bandit_3,2.4763234120504167,ThompsonSampling
Bandit_3,3.796094423608624,ThompsonSampling
Bandit_3,4.1813638736136305,ThompsonSampling
Bandit_3,2.7011833990101457,ThompsonSampling
Bandit_3,2.248048039995786,ThompsonSampling
Bandit_3,2.2235804341264496,ThompsonSampling
Bandit_3,2.8789320341287605,ThompsonSampling
Bandit_3,2.762709968123142,ThompsonSampling
Bandit_3,3.5483906701607832,ThompsonSampling
Bandit_3,2.161627052267682,ThompsonSampling
Bandit_3,5.181654692297272,ThompsonSampling
Bandit_3,2.894604540736129,ThompsonSampling
Bandit_3,2.9497242391406187,ThompsonSampling
Bandit_3,2.596719041123405,ThompsonSampling
Bandit_3,1.4525022323430568,ThompsonSampling
Bandit_3,2.6758040253097994,ThompsonSampling
Bandit_3,2.2538965609082378,ThompsonSampling
Bandit_3,2.5952745635141596,ThompsonSampling
Bandit_3,5.077918094511523,ThompsonSampling
Bandit_3,1.9612390069281518,ThompsonSampling
Bandit_3,1.7054469759939634,ThompsonSampling
Bandit_3,1.6799971187148175,ThompsonSampling
Bandit_3,2.3761006272563465,ThompsonSampling
Bandit_3,1.9253260038119582,ThompsonSampling
Bandit_3,1.7380129324577078,ThompsonSampling
Bandit_3,4.074043698223704,ThompsonSampling
Bandit_3,2.8112976177909004,ThompsonSampling
Bandit_3,1.427688439443244,ThompsonSampling
Bandit_3,3.441386202413081,ThompsonSampling
Bandit_3,2.9303692562247976,ThompsonSampling
Bandit_3,3.4382931045017417,ThompsonSampling
Bandit_3,3.950627699705433,ThompsonSampling
Bandit_3,3.136264344957642,ThompsonSampling
Bandit_3,3.328443907951288,ThompsonSampling
Bandit_3,0.7818154236254795,ThompsonSampling
Bandit_3,4.153139242109407,ThompsonSampling
Bandit_3,3.0108105487948666,ThompsonSampling
Bandit_3,2.3049481430669516,ThompsonSampling
Bandit_3,1.1359132362472903,ThompsonSampling
Bandit_3,4.240555969628737,ThompsonSampling
Bandit_3,4.629792090439888,ThompsonSampling
Bandit_3,2.2644841796385764,ThompsonSampling
Bandit_3,2.2691277914164463,ThompsonSampling
Bandit_3,4.040018998278252,ThompsonSampling
Bandit_3,4.664389359845201,ThompsonSampling
Bandit_3,3.755982659898056,ThompsonSampling
Bandit_3,3.424141720275933,ThompsonSampling
Bandit_3,3.617696097708574,ThompsonSampling
Bandit_3,3.821823885208235,ThompsonSampling
Bandit_3,2.9163784784787894,ThompsonSampling
Bandit_3,2.264646668109336,ThompsonSampling
Bandit_3,4.01651250196365,ThompsonSampling
Bandit_3,2.139496150292358,ThompsonSampling
Bandit_3,3.7827234274899233,ThompsonSampling
Bandit_3,2.169010874097661,ThompsonSampling
Bandit_4,4.554821985780171,ThompsonSampling
Bandit_3,2.775881468262441,ThompsonSampling
Bandit_3,2.4859899195270696,ThompsonSampling
Bandit_3,2.0009803261496217,ThompsonSampling
Bandit_3,2.1022255276334065,ThompsonSampling
Bandit_4,4.013409365313573,ThompsonSampling
Bandit_4,3.7087916605403075,ThompsonSampling
Bandit_4,4.521657377323253,ThompsonSampling
Bandit_3,4.192956627283505,ThompsonSampling
Bandit_4,2.562806879453139,ThompsonSampling
Bandit_4,4.401808279500171,ThompsonSampling
Bandit_4,4.173487500791037,ThompsonSampling
Bandit_4,4.331947189411787,ThompsonSampling
Bandit_4,4.038332825638799,ThompsonSampling
Bandit_4,3.4806209990745636,ThompsonSampling
Bandit_4,5.761749371123358,ThompsonSampling
Bandit_4,3.233831830684183,ThompsonSampling
Bandit_4,3.626559007608443,ThompsonSampling
Bandit_4,3.199538678841953,ThompsonSampling
Bandit_4,4.923516912740514,ThompsonSampling
Bandit_4,4.989626448092092,ThompsonSampling
Bandit_4,3.7530490215167682,ThompsonSampling
Bandit_4,4.337938459650266,ThompsonSampling
Bandit_4,4.141653791437848,ThompsonSampling
Bandit_4,4.3319085069189205,ThompsonSampling
Bandit_4,4.614819273237494,ThompsonSampling
Bandit_4,4.821158321241858,ThompsonSampling
Bandit_4,2.846227138131491,ThompsonSampling
Bandit_4,4.764296489845844,ThompsonSampling
Bandit_4,3.826226653893286,ThompsonSampling
Bandit_4,4.150369691639475,ThompsonSampling
Bandit_4,3.216246374188954,ThompsonSampling
Bandit_4,2.7526249623963435,ThompsonSampling
Bandit_4,2.338454356698766,ThompsonSampling
Bandit_4,4.715276027712998,ThompsonSampling
Bandit_4,3.977964300824359,ThompsonSampling
Bandit_4,4.201189770319895,ThompsonSampling
Bandit_4,5.0899823478452895,ThompsonSampling
Bandit_4,4.787757366055808,ThompsonSampling
Bandit_4,4.346442844384304,ThompsonSampling
Bandit_4,4.233637601498697,ThompsonSampling
Bandit_4,3.1744082373660456,ThompsonSampling
Bandit_4,2.3097859265902883,ThompsonSampling
Bandit_4,5.79344208792782,ThompsonSampling
Bandit_4,3.568964520207688,ThompsonSampling
Bandit_4,4.439821792473342,ThompsonSampling
Bandit_4,4.659324171972959,ThompsonSampling
Bandit_4,5.294214293611781,ThompsonSampling
Bandit_4,4.023267892289548,ThompsonSampling
Bandit_4,2.845005042048599,ThompsonSampling
Bandit_4,4.864947155014606,ThompsonSampling
Bandit_4,4.400078070102546,ThompsonSampling
Bandit_4,2.1687146322591264,ThompsonSampling
Bandit_4,3.820811463293194,ThompsonSampling
Bandit_4,2.950810316987541,ThompsonSampling
Bandit_4,3.6405195739872145,ThompsonSampling
Bandit_4,3.924018637723863,ThompsonSampling
Bandit_4,3.4206064304828554,ThompsonSampling
Bandit_4,5.643572953299323,ThompsonSampling
Bandit_4,4.926621513711264,ThompsonSampling
Bandit_4,3.5075678342879617,ThompsonSampling
Bandit_4,4.669632248198359,ThompsonSampling
Bandit_4,4.0314939528829195,ThompsonSampling
Bandit_4,4.762248012733412,ThompsonSampling
Bandit_4,2.8188638358707507,ThompsonSampling
Bandit_4,3.1757771905822483,ThompsonSampling
Bandit_4,3.3284053161181775,ThompsonSampling
Bandit_4,4.494154726887402,ThompsonSampling
Bandit_4,5.360609348631187,ThompsonSampling
Bandit_4,3.9992559346052867,ThompsonSampling
Bandit_4,2.8684775672936373,ThompsonSampling
Bandit_4,3.5739964093189323,ThompsonSampling
Bandit_4,4.510558469674394,ThompsonSampling
Bandit_4,5.127232493582932,ThompsonSampling
Bandit_4,2.5264364013048417,ThompsonSampling
Bandit_4,4.632409218871056,ThompsonSampling
Bandit_4,2.0652306092570725,ThompsonSampling
Bandit_4,5.223208601787125,ThompsonSampling
Bandit_4,3.8648694459380297,ThompsonSampling
Bandit_4,4.191102325377876,ThompsonSampling
Bandit_4,3.307393518256724,ThompsonSampling
Bandit_4,4.979680249871493,ThompsonSampling
Bandit_4,4.285061420117411,ThompsonSampling
Bandit_4,4.123692166647843,ThompsonSampling
Bandit_4,4.778312015985838,ThompsonSampling
Bandit_4,4.59424296250059,ThompsonSampling
Bandit_4,3.5787296703317866,ThompsonSampling
Bandit_4,3.6378740201529443,ThompsonSampling
Bandit_4,5.722839583048074,ThompsonSampling
Bandit_4,4.431852747987501,ThompsonSampling
Bandit_4,3.56944134177586,ThompsonSampling
Bandit_4,3.573034499133836,ThompsonSampling
Bandit_4,5.897415569207841,ThompsonSampling
Bandit_4,3.2755484206419343,ThompsonSampling
Bandit_4,2.8243296598552545,ThompsonSampling
Bandit_4,2.879739753605665,ThompsonSampling
Bandit_4,4.393135297502231,ThompsonSampling
Bandit_4,4.592226660519284,ThompsonSampling
Bandit_4,3.754996421209463,ThompsonSampling
Bandit_4,2.3545625783541726,ThompsonSampling
Bandit_4,3.8848661755862848,ThompsonSampling
Bandit_4,2.425257741005958,ThompsonSampling
Bandit_4,3.8980107919785363,ThompsonSampling
Bandit_4,4.008059118533279,ThompsonSampling
Bandit_4,4.330119331473553,ThompsonSampling
Bandit_4,6.399819903267744,ThompsonSampling
Bandit_4,2.1778124906767067,ThompsonSampling
Bandit_4,3.7597326104363544,ThompsonSampling
Bandit_4,5.341869123546942,ThompsonSampling
Bandit_4,4.670391859196554,ThompsonSampling
Bandit_4,6.687786906256955,ThompsonSampling
Bandit_4,4.651124345550126,ThompsonSampling
Bandit_4,3.910691136405789,ThompsonSampling
Bandit_4,5.460436456358369,ThompsonSampling
Bandit_4,4.5032072644226036,ThompsonSampling
Bandit_4,4.051137613466974,ThompsonSampling
Bandit_4,5.718740589374124,ThompsonSampling
Bandit_4,3.047464535883601,ThompsonSampling
Bandit_4,4.874411523864286,ThompsonSampling
Bandit_4,3.7328175578954563,ThompsonSampling
Bandit_4,3.5136304700341228,ThompsonSampling
Bandit_4,3.360505603557141,ThompsonSampling
Bandit_4,3.127599604429867,ThompsonSampling
Bandit_4,3.8201075824906754,ThompsonSampling
Bandit_4,4.961361811618667,ThompsonSampling
Bandit_4,3.578541871141204,ThompsonSampling
Bandit_4,3.4810655778189368,ThompsonSampling
Bandit_4,4.107756872115572,ThompsonSampling
Bandit_4,3.7969879088188825,ThompsonSampling
Bandit_4,4.172008216771548,ThompsonSampling
Bandit_4,3.9129601692422096,ThompsonSampling
